Name,Cost,Score rating,Number rating,Comment user
Samsung Smart TV QLED QA55Q60C,13.490.000₫,4.3,23,"['Hình ảnh nét, chất lượng tốt/n', 'Sử dụng tốt ạ/n', 'Ok/n', 'Mới lắp đặt ngày 07.03.2024. Mẫu mã đẹp sang trọng. Hình ảnh đẹp sắc nét. Nhân viên vui vẻ nhiệt tình tư vấn sử dụng sản phẩm./n', 'Oke/n', 'Hiện tại dùng ổn, chưa thấy lỗi gì/n', 'Tivi mua 2 tháng , màn phía trong màu trắng tự nhiên bị nứt xước đường chéo màn hình . Gọi bảo hành , xuông kiểm tra xong báo k chịu bảo hành vết xước đó . Trong khi cái màn nó nằm phía trong giữa tivi thì làm sao có ai đụng chạm hay tác động vào được . Tivi mới mua 2 tháng cũng it sử dụng mà bị như vậy gọi bảo hành lại k chấp nhận . Tết nhất tới nơi mà chán chả buồn nói/n', 'Ti vi đẹp nhưng phần tìm kiếm hỗ trợ giọng nói quá chán. Hình như không thể sử dụng được. Nên có người muốn mua sản phẩm của sam sung cũng không dám giới thiệu cho bạn bè/n', 'Sai tôt ạ/n', 'Đẹp hình ảnh sắc nét/n', 'Rất tot/n', 'Hài Lòng./n', 'Hiện chưa kết nối được K+ quà tặng/n', 'Ok/n', 'Ti vi dùng ok lắm nha/n', 'ok/n', 'Ok tivi tốt/n', '/n', '/n', '/n']"
Samsung Smart TV UA55AU7002,8.490.000₫,4.5,69,"['Sản phẩm dùng khá tốt/n', 'Ok/n', 'Sản phẩm ok . Giao hàng nhanh , thái độ của nhân viên nhiệt tình./n', 'Tivi hay bị lỗi kết nối mạnh wifi. Trong khi mạng wifi sử dụng bình thường cho các thiết bị khác/n', 'Ti vi sử dụng rất tốt trong tầm giá./n', 'Rẻ đẹp nói chung với giá tiền này là ngon rồi Tiếc là muốn lắp treo tường phải thêm phí/n', 'Tốt/n', 'Phục vụ rất nhanh,chu đáo , giá giảm 8.3tr quá hợp lí/n', 'Rất tốt/n', 'Phục vụ chu đáo/n', 'Cảm ơn/n', 'Quá ok cùng loa thanh samsung C450/n', 'Ok/n', 'Ok/n', 'Tốt. Moi ng nen mua/n', 'Tốt/n', 'Tv đẹp/n', 'Tv ok/n', 'Ok/n', 'Tot/n']"
Samsung Smart TV UA55BU8000,12.900.000₫,4.3,54,"['có ai cíu em , điều khiển hết pin , e lật ngược lại bỏ dưới bóng đèn nhà nhưng không khả thi, dây sạc thì không có , giờ không xài được tivi luôn , ai hướng dẫn e với/n', 'Mọi thứ đều tốt. Chỉ có mỗi tìm kiếm bằng giọng nói thì không thể sử dụng Tiếng Việt được. Nhà có người già mà không thể tìm kiếm bằng giọng nói Tiếng Việt nên thật sự rất bất tiện./n', 'Hay bị lỗi/n', 'Tivi dùng ok ạ/n', 'Tốt/n', 'Ti vi trên cả tuyệt vời còn về độ bên thì dùng mới biết/n', 'sao mỗi lần tắt ti vi tầm 23 tiếng mở lại là bắt lỗi mạng mình tắt tivi bật lại thì k việc gì mà lúc nào cũng phải mở r tắt xong mở thấy k vui lắm . về phía nhân viên điện máy nhân viên lắp ráp nhiệt tình . ti vi màu đẹp c hình ảnh nét bé xem hoạt hình thấy khoái lắm. mình cũng mới mua đc tháng nên độ bền chờ thời gian trả lời/n', 'Sản phẩm tốt trong tầm giá/n', 'màu đẹp, tivi tốt/n', 'Cơ bản là dùng oke. Phù hợp mức giá so với cjaats lương/n', 'đẹp/n', 'Ok/n', 'Mới mua dx cách đây vài ngày.. âm thanh tốt..màu sắc đẹp..tivi mỏng đẹp.. rất hài lòng về dòng sản phẩm Samsung này/n', 'Sản phẩm dùng rất ok/n', 'Rất tốt/n', 'Tivi mỏng nhẹ xem rõ hỉnh, màu đẹp. Cần ủu đải cho khách hàng thân thiết khi mua./n', 'hình ảnh và âm thanh rất tốt/n', 'Mình cần lời giải thích từ điện máy xanh. Mua tivi hơn một tuần. Độ tươi màu sắc còn tệ hơn cả tv hd mua 3 năm trước. Vừa nhận hàng đã yêu cầu hỗ trợ ngay. Tới nay hỗ trợ nhưng kéo dài thời gian. Không giải quyết vấn đề. Đổ thừa tùm lum hết. Làm ăn vậy sao dám tin tưởng mua tiếp. Tv bỏ ra hơn 10trieu mua, đổi lại còn thua tvi 3trieu ./n', 'Chất lượng tốt/n', 'ít sử dụng/n']"
Samsung Smart TV UA55CU8000,10.990.000₫,4.8,324,"['Tivi chất lượng/n', 'Đang sử dụng vẫn ổn/n', 'Tôt/n', 'Tốt/n', 'Hình ảnh nét/n', 'âm thanh , chất lượng hình ảnh tốt/n', 'màu sắc đẹp/n', 'tivi đẹp/n', 'Xài tốt, rõ/n', 'Tivi có kết nối Bluetooth với loa, nhưng chỉ kết nối tốt với loa của samsung. Kết nối loa hảng khác nghe ko đc. Chức năng Bluetooth mà kết nối ko như thế thà ko có chức năng Bluetooth còn hay hơn. Ko nên mua nếu có ý định kết nối Bluetooth qua loa thông minh. Nhân viên samsung đến kiểm tra bảo loa ko tương thích, thế là xong/n', 'Thật may mắn hôm qua mua giá 9tr490k tivi sài rất tốt và hài lòng nhân viên lắp đặt/n', 'Tốt/n', 'Hàng ok chất lương/n', 'Rất tốt ạ/n', 'Ti vi đang bình thường cái nó biến thành vậy chỉ tắt và mở lên lại như vầy/n', 'Tốt/n', 'Hiện tại tivi samsung đang dùng ok/n', 'Tốt/n', 'Ok/n', 'Quá tuyệt vời/n']"
Samsung Smart TV QLED QA65Q60C,16.390.000₫,3.9,29,"['Xem YouTube các highlights bóng đá hình ảnh bị chuyển động giật rất khó xem, có ai giống mình không. Nhờ hỗ trợ với/n', 'Rất tệ chăm sóc khách hàng rất kém/n', 'Tivi hình ảnh nó nhoà và tối hơn rất nhiều so với tivi sony giá tương đương gia đình mình vừa xài/n', 'Mọi cái tốt nhưng app VieOn tích hợp trên Tivi xài rất chậm và giật, mặc dù VieOn tích hợp sẵn và có cả nút sẵn trên Remote/n', 'Tivi ok nhưng sao gói Khuyến mãi VTVCab ON sau khi hết hạn gói VIP thì gói Cơ bản 2 năm cũng mất tiêu luôn vậy Điện Máy Xanh TV mới mua được mấy tháng thôi mà./n', 'Tivi đẹp nha, tính đặt mua LG thì chạy ra cửa hàng xem thử, không ngờ con này QLED giảm giá còn 15tr hốt luôn vì chất lượng đẹp hơn LG với giá này. Hệ điều hành chạy mượt, hi vọng bền với thời gian./n', 'OK/n', 'OK/n', 'Hiện tại còn bảo hành nên dùng rất ok .hết bảo hành thì tính tiếp ạ/n', 'Tot ban ạ/n', 'Vừa mua được 2 ngày mà giá giảm xuống 2,5 triệu, như vậy không biết có vấn đề gì không/n', 'Rất tuyệt vời!/n', 'Tốt/n', 'Tôi không thể kết nối AirPlay trên tivi này được mặc dù đã thử trên nhiều điện thoại iPhone, tôi cần hổ trợ/n', 'Tại sao hôm kia lúc tôi đến mua tivi này bạn nhân viên không tư vấn cho tôi mua online giá rẻ hơn 2tr3 . trong khi mua online với mua trực tiếp tại cửa hàng CHƯƠNG TRÌNH KHUYỄN MÃI đều giống nhau. Hôm nay tôi vào xem giá online mới thấy . tôi người mua rất nhiều hàng ở đmx. Tại sao lại có thể mất oan 2tr3 này được. Xin bên đmx hãy trả lời rõ cho tôi. Quý vị có thể check đơn hàng tôi đã mua ở cty. Cửa hàng tôi mua tại thị trấn Lai Uyên, Bàu Bàng, Bình Dương/n', 'Tivi đẹp giá cao hơn lg nhưng chả có chương trình gì/n', 'rất thích/n', 'Tốt/n', 'Ok/n', 'Ok/n']"
Samsung Smart TV UA43AU7002,6.490.000₫,4.3,190,"['Xài ok . Chỉ thiếu ko có điều khiến giọng nói thôi/n', 'Tốt/n', 'Làm ăn ko có trách nhiệm, khuyến mại gói cước thì ko coi dc gì, gọi hỗ trợ thì hẹn tới hẹn lui, vẫn ko có ai phản hồi,mua hàng nhiều lần mà lần này thất vọng/n', 'Ok/n', 'Ti vi rõ nét đẹp/n', 'Ổn/n', 'Tv tot mau sac dep/n', 'Hình ảnh đẹp điều khiển nhạy de sử dụng giá tốt 4k thì quá OK/n', 'Ok. Nhung sai vai ngay co hiện tuong trễ khi vao app/n', 'tv đẹp, coi rõ nét màu chuẩn, dịu mắt. Nv tư vấn nhiệt tình, nên mua ở đmx nha mn./n', 'Tivi màu đẹp sắc nét, âm thanh cũng OK, chỉ tiếc là ko có chức năng tìm kiếm được bằng giọng nói trên remote hoặc YouTube./n', 'mới dùng nên chưa đánh giá dc độ bền, chức năng ok/n', 'Tot/n', 'Rất tốt/n', 'Sản phẩm chất lượng cao/n', 'Nhân viên chăm sóc khách hàng rất thiếu trách nhiệm. Ko hướng dẫn về việc thanh toán. Khấu trừ khuyến mãi cho khách hàng. Không gọi lại để chốt đơn và kiểm trả thông tin đơn đặt hàng/n', 'Remote ko có giọng nói là lý do gì./n', 'Dmx nay giá này, mai giá kia, vừa mua hôm trước, hôm sau giảm cả triệu./n', 'Rất tốt/n', 'Ti vi k có giọng nói gì hết/n']"
Samsung Smart TV UA65CU8000,12.790.000₫,4.5,350,"['Màu sắc đẹp , chỉ có hơi phiền là nó nói nhiều quá/n', 'Đang sử dụng tốt/n', 'Đang sử dụng vẫn ổn/n', 'Tivi chất lượng/n', 'Dang sử dụng cảm thấy tốt chất lượng/n', 'Sẽ giới thiệu cho bạn bè/n', 'Sản phẩm đang sử dụng tốt/n', 'Sản phẩm chất lượng/n', 'Sản phẩm tốt Dịch vụ chất lượng/n', 'Tivi sử dụng tốt/n', 'Tivi sử dụng tốt/n', 'Đang sử dụng tốt/n', 'Sản phẩm đang sử dụng tốt/n', 'Sản phẩm chất lượng đang sử dụng rất tốt/n', 'Tivi tốt đang sử dụng OK/n', 'Sản phẩm tốt chất lượng cho điểm tối đa/n', 'Sẽ giới thiệu cho bạn bè/n', 'Giao diện đẹp dễ sử dụng cho người lớn tuổi/n', 'Đang sử dụng tivi hoạt động tốt/n', 'Sẽ giới thiệu cho bạn bè/n']"
Samsung Smart TV UA43CU8000,9.800.000₫,4.5,12,"['Hình ảnh chân thật sắc nét. Rất tốt/n', 'kết nối Wifi rất tệ, mỗi lần mở TV phải sửa lỗi gỡ rối kết nối Wifi kết nối lại Wifi/n', 'Tốt ạ/n', 'ok tốt đáng mua/n', 'Nhân viên giao hàng, lắp đặt rất nhiệt tình, thân thiện./n', 'Mjh đã sd tivi hiệu này rồi , và bây giờ mua thêm vẫn thích sd hiệu này, nói chung rất ok/n', 'Rất hài lòng 😀/n', 'Rất vui khi mua sản phẩm này.hợp với túi tiền người lao động/n', '/n', '/n', '/n', '/n']"
Samsung Smart TV UA32T4202,4.690.000₫,4.2,36,"['Nhờ nhân viên hỗ trợ hẹn 5 ngày liên hệ đến nay là ngày thứ 6 vẫn chưa thấy gì. Điện thì thái độ nhân viên cợt nhã đang cười giỡn với người khác không nghe rõ yêu cầu của khách hàng. Nói 120p sau có người liên hệ hỗ trợ cũng không có. Lần đầu tiên có trải nghiệm xấu như vậy về ĐMX/n', 'Tot/n', 'Tivi mình mua bị lỗi tiếng một hôm giờ trở lại bình thường Nhưng tôi biết nó đã có vấn đề/n', 'Được/n', 'OK/n', 'Tốt/n', 'Ti vi sài tốt nhé/n', 'Kết nối với chảo bấm tới kênh 17 đứng hình hk bấm lên xuống được/n', 'Mua thì suy nghĩ lại nha mọi người em mua xem chưa được 1 tiếng nó tắt nguồn ko lên nguồn luôn nchung mang tiếng được chữ Samsung thôi chứ còn lại thì lắm/n', 'Mình mới mua tivi nhưng màu không sáng,không rõ nét.Mong phản hồi/n', 'Tivi màn hình rõ nét, rất tốt/n', 'Mới mua 24.9.2023 âm thanh tốt. Màn hình sáng rõ./n', 'Ok/n', 'Ok mau dep/n', 'Nhân viên rất nhiệt tình/n', 'Hàng tốt ạ. Nhân viên phục vụ tận tình. Cảm ơn/n', 'Ok/n', 'Tivi ok/n', 'Tivi mượt, màn hình ổn/n', 'Sản phẩm tốt. Dịch vụ chu đáo. Chúc Điện máy xanh làm ăn phát tài./n']"
Samsung Smart TV Crystal UHD UA43BU8000,9.300.000₫,4.5,96,"['Nó cứ hiện lên mãi Rất khó chịu/n', 'Màu đẹp nhìn rất nét/n', 'Ti vi tốt nhe mọi người./n', 'Hình ảnh sắc nét.tặng cáp truyền hình 6 tháng. Nên mua.giá hợp lý/n', 'Mới mua chưa lâu, hiện xài tốt/n', 'So với tv SS cũ thì cái mới này mượt hơn, bắt wifi mạnh./n', 'âm thanh tốt, màn hỗ trợ 4K nịnh mắt, có điều hơi tối/n', 'Sao mua lúc chiều tại cửa hàng 8tr990 mà trên wep có 8tr196 Nhân viên không cập Nhật để khách hàng mua giá cao hơn so với khuyến mãi vậy/n', 'Ok điện máy XANH/n', 'Tivi mẩu mã đẹp, độ nét tương đối không bằng sony, âm thanh nhỏ. Giao hàng nhanh,nv nhiệt tình./n', 'Bán hàng giao hàng nhiệt tình nói chung là ok nhiệt tình vui vẽ/n', 'Dễ dùng, chất lượng hiệu quả/n', 'TV sủ dụng tốt qua 1 tg sử dụng/n', 'Dùng rất tốt . Nhân viên nhiệt tình. Hướng dẫn chu đáo/n', 'Ok/n', 'Tivi tôi mua đến nay sủ dụng tốt/n', 'Rất tốt ,rõ nét/n', 'Độ màu, hình ảnh rõ nét, nhưng âm thanh nhỏ./n', 'rat tot nhe/n', 'OK/n']"
