Name,Cost,Score rating,Number rating,Comment user
Toshiba Smart TV 43V31MP,5.490.000₫,4.1,109,"['Mới giao hàng đc 1 tiếng..nhân vien gắn kệ treo lên 20f thì bị z..gọi thì bảo đợi ngày mai..sao lúc mua thì gọi cái ok ngay..đến khi lỗi thì hẹn mai trong khi đó mới giao mới 1h..để qua ngày để kiếm đường đổ lỗi cho khách hàng hay sao..làm ăn quá chán/n', 'Ok, mà chưa thấy kích hoạt bảo hành/n', 'Hình ảnh nét màu sắc giống sony , bắt wifi mạnh mặc dù cách xa 3 mét , chất lượng full HD nét hơn 4K 1 số loại khác/n', 'Sp tốt/n', 'Ok lắm/n', 'Giá rẻ, xài ổn/n', 'Ổn so với tầm giá/n', 'Tốt về giá và chất lượng/n', 'Dùng tốt. Giá cả ổn/n', 'cho em hỏi làm sao để cài đặt ứng dụng chplay cho tivi này ạ/n', 'Ok/n', 'Thấy OK kết nối nhanh màn hình đẹp/n', 'Màu đẹp, âm thanh sống động và kích thước vừa đủ với không gian căn phòng/n', 'Tốt/n', 'TV xài rất tốt/n', 'Mình đang sử dụng thấy rất OK Mình đã mua thêm 01 cái nữa/n', 'Tivi khá tôt/n', 'Tuyệt vời/n', 'rất tệ cho thái độ hỗ trợ dịch của nhân viên/n', 'Hình ảnh âm thanh tốt với tầm giá/n']"
AQUA Android TV AQT55D67UG,6.990.000₫,4.8,5,"['Mới sắm ngày 13/5/24 rất chi là ok.../n', 'Sản phẫm tốt nhân viên nhiệt tình giao nhanh . Nói chung là ok ./n', 'Chất lượng hiển thị tốt, âm thanh sống động nghe thích lắm, màn 55inch coi siêu đã./n', 'TV khá tốt/n', '/n']"
TCL Google TV QLED 65Q646,11.990.000₫,4.3,13,"['Ok/n', 'Rất tốt/n', 'Sản phẩm dùng tốt, âm thanh to rõ, hình ảnh đẹp. Tuy nhiên những phần khuyến mãi kèm theo ko sử dụng được, mình có gọi điện, nhắn tin nhưng nhân viên cũng ko giúp được gì, mình phải yêu cầu nhiều lần thì mới có nhân viên tới nhà họ nói chuyện kiểu như đi đòi nợ thuê, làm cha khách hàng, đổ thừa này nọ đủ thứ. Mình thường xuyên mùa hàng ở dmx, TGDD, bhx đây đâu phải lần đầu mua nhân viên rất rất là tệ. Sản phẩm thì tốt còn nhân viên phục vụ và bảo hành thì mọi người nên xem lại bỏ tiền ra mua hàng rồi kèm Theo cục tức khuyến mãi mang về/n', 'Dùng tốt/n', 'OK rất tốt/n', 'Remote hay bị đơ nhấn hk nhận lệnh. Vào FPT play xem phim thì hay hiện lên tìm kiếm bằng giọng nói thoát ra hk được. Hk bít tại remote hay tivi còn tìm kiếm bằng khâu lệnh ok google dường như hk sài đk/n', 'ok/n', 'S p hợp lý anh đẹp gi thành tốt dễ sử dụng/n', 'Vừa mua dmx giảm giá 2 triệu. Sp tốt nhưng hơi hụt hẫn tý./n', 'Tốt/n', '/n', '/n', '/n']"
Toshiba Google TV 65C350LP,13.990.000₫,4.9,70,"['Rất tốtttttttt/n', 'rất tốt, hình ảnh siêu nét chất lượng cao, mịn màng/n', 'Âm thanh cực kì to rõ thiết kế đẹp màu sắc hài hòa/n', 'Hình ảnh đẹp xem thể thao chất lượng hẳn ra/n', 'Màn hình to rõ loa siêu bự bật 1 tý phát nguyên cả căn phòng nghe/n', 'Giá cả phải chăng hàng Nhật Bản có khác dùng mượt mà chưa thấy trục trặc gì/n', 'Màn hình to đẹp rất đáng tiền/n', 'Đẹp/n', 'TV đẹp to cái chống chói mắt thấy quảng cáo khá tiện xem phim lâu đỡ mỏi mắt hơn hẳn thanks/n', 'Tư vấn viên nhiệt tình bác bảo vệ dắt xe vui vẻ/n', 'TV trình chiếu rất ok/n', 'Sắm vài cái để phòng khách thì còn gì bằng/n', 'Màn ảnh to nét/n', 'Dùng tốt như mong đợi ok/n', 'Dùng để làm màn hình chiếu thông báo khá tốt/n', 'Loa to màn hình rộng khá ổn/n', '11tr cho một siêu phẩm, đẹp, chất/n', 'Mua về cho nóc nhà xem phim, hihi/n', 'Dùng rất ok/n', 'Ui, kiếm mãi mới có cửa hàng bán dòng 65 của Toshiba, gì mà hiếm hàng vậy @@/n']"
Toshiba Smart TV OLED 65X9900LP,20.990.000₫,4.4,153,"['Tivi ok lằm./n', 'Mua dc 1 ngày đã bị bị đơ màn hình bật không lên/n', 'Tốt , hình ảnh đẹp rất ok./n', 'Oki la/n', 'Hàng ok ạ/n', 'Rất. Ok/n', 'Cam on toi rat hai long/n', 'Tốt/n', 'Rất ok/n', 'Sài 2 tuần thấy chất lượng ổn so với kỳ vọng/n', 'Không có gì để phàn nàn/n', 'Đang xài tốt. Độ bền thì phải trải qua thời gian mới biết được/n', 'Mới dùng thấy tốt/n', 'Cảm ơn/n', 'Tốt/n', 'Tôi đã sử dụng TV này được 1năm rồi vẫn thấy OK/n', 'Hình ảnh đẹp , âm thanh tốt , giá phải chăng/n', 'OK nhé/n', 'Ok/n', 'Ok/n']"
Toshiba Google TV 75C350LP,18.990.000₫,4.3,13,"['Thời gian phản hồi bảo hành của ĐMX quá lâu do hệ thống quá tải. Cũng muốn thông cảm nhg thật sự lần này rất tệ, chắc sẽ cân nhắc mua hãng khác lần sau/n', 'Ok/n', 'Hiện tại đang rất hài lòng về tivi này/n', 'Tivi mua 15/2 giờ bị lỗi tìm kiếm giọg nói ko ược để là remote ngắt kết nòi cho người lên kiểm tra dùm ở nhà chỉ có người già ko biết làm sao/n', 'Tv bị lỗi không dùng được giọng nói liên hệ bảo hành hẹn mà không thấy xuống nhỉ/n', 'Mới mua tivi hôm 28/4 ngày 29 mới giao lấp đặt xog ok .sáng hôm sau bị lỗi tất cả ứng dụng ko xem đc .đt lên kêu bh hẹn 2ng xuống cái kiểm trả nói hư phần mềm. Cái hẹn tiếp 2ng .tivi mới mua mà bh thấy chán/n', 'tốt/n', 'Pua tế mới mua 1thangda hứ.bao hành thì k chịu bao hanh/n', 'Tốt/n', 'sài ok/n', 'Củng tốt/n', 'Tívi rất đẹp/n', 'Tốt/n', 'Dùng tốt trong tầm giá/n', 'Xem qua đầu thu Mobitv 1080 mờ hơn khi xep qua tv 360 nhưng nét hơn nhiều sản phẩm tốt ok/n', 'Tivi này ket nối wifi trực tiếp hay không dây ạ/n', 'kênh TV THVL3 bị lắc và đứng hình chưa khắc phục được/n', '....jjj/n', 'Tivi hay bị mất tiếng quá ạ ko hiểu vì sao nữa tắt mở đi lại mới có tiếng/n', 'Rất tốt/n']"
Toshiba Google TV QLED 55M550LP,11.990.000₫,4.4,41,"['Tốt tư vấn tận tình./n', 'Tôi mới mua thấy rất tốt,/n', 'Rất hài lòng với sản phẩm./n', 'Nhân viên lắp đặt nhanh, ti vi xài tốt, hình nét, âm thanh rõ./n', 'Rất tốt/n', 'Ok/n', 'Tivi sài rất ok/n', 'Thuyết minh cứ đọc tên video rất phiền. Nhờ đmx chỉ giúp ./n', 'Sản phẩm chất lượng/n', 'Sản phẩm khách hành mua mới mà giao như hàng tồn kho hang lỗi đem tới 3 cái cái đổi cái nào cũng lỗi ngay lúc giao giờ bên DMX yêu cầu muốn đổi phải tốn phí . 11tr chứ 1 tr tôi đập cho rồi. Đi tới lui 10 lần k giải quyết dc rất phiền phức. Rất bực mình./n', 'Tốt lắm/n', 'Màu sắc tốtâm thanh sống động mình rất ưng ý khi sử dụng Tivi Sony 4K 43 inch KD/n', 'Tôi hài lòng/n', 'Nhân viên tư Vấn nhiệt tình vui vẻ./n', 'Trải nghiệm cực kì tệ với DMX.Thời điểm mua hàng CTKM ghi rõ được tặng kèm bộ 3 tk vip xem tivi tuy nhiên thực tế không có.Báo bộ phận CSKH thì lại đẩy trách nhiệm cho hãng Sony và từ Sony lại đẩy sang Vieon. Rất lòng vòng tốn thời gian.Tổng gần 20 ngày từ lúc mua chưa được kích hoạt tài khoản.NV CSKH có xu hướng đổ lỗi cho khách cực kì thất vọng./n', 'Xài tốt/n', 'Tivi màu đẹp sắc nét. Âm thanh nghe hay nhiều tiện ích trên tivi/n', 'Màu sắc đẹp sắc nétâm thanh rõtôi hài lòng với sản phẩm này/n', 'Ok/n', 'San pham rat tot/n']"
Toshiba Google TV 55C350LP,10.990.000₫,4.7,99,"['Hình ảnh đẹp. Âm thanh to. Thích hợp trong tầm giá. Còn độ bền thì thời gian sau mớ biết./n', 'Tivi ổn, trình duyệt web có vẻ hơi lag. Xem phim trên web tầm 1h có hiện tượng đơ luôn tivi. Kh tắt được phải rút chui cắm luôn mới tắt mở lại được. Mong được phản hồi ạ./n', 'Hàng chất lượng cao, giá tốt với tấm nền IPS cho chất lượng hình ảnh chân thật không quá nịnh mắt như màn QLed của Samsung. Còn độ bền chưa biết./n', 'Hiện tại khá ok vs tầm giá. Chờ xem độ bền/n', 'Chất lượng Sản phẩm dùng rất hài lòng cả hình ảnh, âm thanh/n', 'Anh chị nên cân nhắc mua sản phẩm của tosia này. Chính sách đổi trả đmx quá tốt nhưng hàng tosia giờ quá tệ. Đổi cái mới vẫn bị lỗi y chang vậy/n', 'Sản phẩm ok , rất đáng đồng tiền./n', 'Oki/n', 'Rất tốt/n', 'Âm thanh to, hình ảnh tốt. Chờ thêm thời gian để kiểm chứng độ bền/n', 'Thiết kế khá đẹp so với phiên bản tiền nhiệm ổn/n', 'Nhìn thực tế thấy đẹp với sang hơn trên mạng/n', 'Tivi kết nối nhanh. Màu đẹp . Âm thanh to rõ/n', 'Tạm/n', 'Tv sản xuất tại Thailal hình thức đẹp chất lượng hình tiếng chuẩn chỉnh. Nhân viên giao hàng nhanh thân thiện/n', 'Ok/n', 'Chính sách bảo hành quá kém đùng đẩy hãng vs chổ bán. Màng hình báo giá trên trời mua tv 9tr6 báo giá màng hình 11 triệu./n', 'Màu sắc đẹp mọi người lưu ý để chế độ hiển thị sang tự nhiên sẽ đẹp hơn để sống động với tiêu chuẩn nha/n', 'Đẹp mọi góc nhìn giá cả phải chăng tư vấn nhiệt tình/n', 'Mua về làm TV trình chiếu rất tiện/n']"
TCL Google TV 40S5400,5.390.000₫,4.1,49,"['Mình Thích cách bảo hành của DMX rất chu đáo. Chuyên nghiệp, sẽ tiếp tục ủng hộ/n', 'Oki hàng tốt/n', 'Sài ok/n', 'Mua hàng trưng bày bị mất khiển bù vào điền khiển đời cũ dùng khá ức chế. Tivi rút điện nguồn ra là auto mất tài khoản google. Muốn dùng thì lại phải đăng nhập lại rất ức chế. Không biết tivi bị lỗi gì nữa/n', 'Sản phẩm ok/n', 'Sài ok/n', 'Sài ổn định/n', 'Ti vi mới mua dc 1 ngày thì dã k kết nối giọng dc, gọi bh thì cho ng lên ng xuống rồi cũng k dc/n', 'Với giá này thì không thể mong đợi nhiều hơn, cơ bản ổn. Loa nghe không hay, màu sắc không tươi, so với Samsung/n', 'Mua onl đmx sẽ không được hỗ trợ lien khi sản pham bị lỗi, mình được kĩ thuật tư vấn nên mua trực tiếp tại cửa hàng sẽ được hỗ trợ nhanh khi sp bị lỗi/n', 'Rất ưng ý luôn/n', 'Ok/n', 'Sản phẩm rất tốt/n', 'Rất tốt/n', 'Ok/n', 'Tốt/n', 'Tivi gia re hợp với người lao động sử dụng rất tốt,,/n', 'Ổn họp tui tiền/n', 'Mua hang bi lôi đôi tơi đôi lui mât thơi gian/n', 'Tivi sử dụng rất tốt/n']"
Toshiba Smart TV OLED 55X9900LP,16.990.000₫,4.5,245,"['Rất tốt/n', 'Tivi dễ dùng, ánh sáng và màu sắc tốt/n', 'Tivi mượt dễ sử dụng hình ảnh nét .. hk có đường đen khi lấy tay miết lên màn hình/n', 'Ti vi đẹp tốt/n', 'Hiện tại nhà mình dùng gần một năm rồi hình ảnh âm thanh rất tốt/n', 'Dùng tốt trong phân khúc/n', 'Chất lượng hình ảnh và âm thanh tốt./n', 'Bắt wife quá tệ mất điện hoặc rút ra là phải cài lại wfi cài ko đc toàn bị lỗi đang muốn đem trả đây/n', 'Hiện tại dùng 23 tuần cảm thấy tốt, chưa có vấn đề gì. Sau này mới đánh giá tiếp theo được/n', 'Rất tốt/n', 'Mới mua máy oi dmx lg 55in ngày 22/4 giá 12990 hôm nay dmx bán co11990 mới đây lỗ 1tr/n', 'Màu sắc, âm thanh và hình ảnh đẹp nhé. Giá quá OK/n', 'Đôi khi vẫn còn lag/n', 'Tốt/n', 'Ok/n', 'Rất tốt âm thanh sống động/n', 'Tốt/n', 'Tôi rất hài lòng về sản phẩm/n', 'LG này xài rất ok/n', 'Phục vụ rất tốt./n']"
