Comment,giaodien,manhinh,amthanh,tinhnang,dichvu,giaca,tongthe
Hình ảnh nét,2,1,2,2,2,2,2
chất lượng tốt,2,2,2,2,2,2,1
Sử dụng tốt ạ,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Mới lắp đặt ngày 07.03.2024. Mẫu mã đẹp sang trọng. Hình ảnh đẹp sắc nét. Nhân viên vui vẻ nhiệt tình tư vấn sử dụng sản phẩm.,1,1,2,2,1,2,2
Oke,2,2,2,2,2,2,1
Hiện tại dùng ổn,2,2,2,2,2,2,1
chưa thấy lỗi gì,2,2,2,2,2,2,2
Tivi mua 2 tháng,2,2,2,2,2,2,2
màn phía trong màu trắng tự nhiên bị nứt xước đường chéo màn hình . Gọi bảo hành,2,0,2,2,2,2,2
xuông kiểm tra xong báo k chịu bảo hành vết xước đó . Trong khi cái màn nó nằm phía trong giữa tivi thì làm sao có ai đụng chạm hay tác động vào được . Tivi mới mua 2 tháng cũng it sử dụng mà bị như vậy gọi bảo hành lại k chấp nhận . Tết nhất tới nơi mà chán chả buồn nói,2,0,2,2,0,2,2
Ti vi đẹp nhưng phần tìm kiếm hỗ trợ giọng nói quá chán. Hình như không thể sử dụng được. Nên có người muốn mua sản phẩm của sam sung cũng không dám giới thiệu cho bạn bè,1,2,2,0,2,2,2
Sai tôt ạ,2,2,2,2,2,2,1
Đẹp hình ảnh sắc nét,2,1,2,2,2,2,2
Rất tot,2,2,2,2,2,2,1
Hài Lòng.,2,2,2,2,2,2,1
Hiện chưa kết nối được K+ quà tặng,2,2,2,0,2,2,2
Ok,2,2,2,2,2,2,1
Ti vi dùng ok lắm nha,2,2,2,2,2,2,1
ok,2,2,2,2,2,2,1
Ok tivi tốt,2,2,2,2,2,2,1
Sản phẩm dùng khá tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Sản phẩm ok . Giao hàng nhanh,2,2,2,2,1,2,1
thái độ của nhân viên nhiệt tình.,2,2,2,2,1,2,2
Tivi hay bị lỗi kết nối mạnh wifi. Trong khi mạng wifi sử dụng bình thường cho các thiết bị khác,2,2,2,0,2,2,2
Ti vi sử dụng rất tốt trong tầm giá.,2,2,2,2,2,1,1
Rẻ đẹp nói chung với giá tiền này là ngon rồi Tiếc là muốn lắp treo tường phải thêm phí,1,2,2,2,0,1,1
Tốt,2,2,2,2,2,2,1
"Phục vụ rất nhanh,chu đáo",2,2,2,2,1,2,2
giá giảm 8.3tr quá hợp lí,2,2,2,2,2,1,2
Rất tốt,2,2,2,2,2,2,1
Phục vụ chu đáo,2,2,2,2,1,2,2
Cảm ơ,2,2,2,2,2,2,2
Quá ok cùng loa thanh samsung C450,2,2,1,2,2,2,2
Ok,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Tốt. Moi ng nen mua,2,2,2,2,2,2,1
Tốt,2,2,2,2,2,2,1
Tv đẹp,1,2,2,2,2,2,2
Tv ok,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Tot,2,2,2,2,2,2,1
có ai cíu em,2,2,2,2,2,2,2
điều khiển hết pin,2,2,2,2,0,2,2
e lật ngược lại bỏ dưới bóng đèn nhà nhưng không khả thi,2,2,2,2,2,2,2
dây sạc thì không có,2,2,2,2,0,2,2
giờ không xài được tivi luôn,2,2,2,2,2,2,0
ai hướng dẫn e với,2,2,2,2,2,2,2
Mọi thứ đều tốt. Chỉ có mỗi tìm kiếm bằng giọng nói thì không thể sử dụng Tiếng Việt được. Nhà có người già mà không thể tìm kiếm bằng giọng nói Tiếng Việt nên thật sự rất bất tiện.,2,2,2,0,2,2,1
Hay bị lỗi,2,2,2,2,2,,0
Tivi dùng ok ạ,2,2,2,2,2,2,1
Tốt,2,2,2,2,2,2,1
Ti vi trên cả tuyệt vời còn về độ bên thì dùng mới biết,2,2,2,2,2,2,1
sao mỗi lần tắt ti vi tầm 23 tiếng mở lại là bắt lỗi mạng mình tắt tivi bật lại thì k việc gì mà lúc nào cũng phải mở r tắt xong mở thấy k vui lắm . về phía nhân viên điện máy nhân viên lắp ráp nhiệt tình . ti vi màu đẹp c hình ảnh nét bé xem hoạt hình thấy khoái lắm. mình cũng mới mua đc tháng nên độ bền chờ thời gian trả lời,2,1,2,0,1,2,2
Sản phẩm tốt trong tầm giá,2,2,2,2,2,1,1
màu đẹp,1,2,2,2,2,2,1
tivi tốt,2,2,2,2,2,2,1
Cơ bản là dùng oke. Phù hợp mức giá so với cjaats lương,2,2,2,2,2,1,1
đẹp,1,2,2,2,2,2,2
Ok,2,2,2,2,2,2,1
Mới mua dx cách đây vài ngày.. âm thanh tốt..màu sắc đẹp..tivi mỏng đẹp.. rất hài lòng về dòng sản phẩm Samsung này,1,1,1,2,2,2,1
Sản phẩm dùng rất ok,2,2,2,2,2,2,1
Rất tốt,2,2,2,2,2,2,1
Tivi mỏng nhẹ xem rõ hỉnh,1,1,2,2,2,2,1
màu đẹp. Cần ủu đải cho khách hàng thân thiết khi mua.,1,2,2,2,0,2,2
hình ảnh và âm thanh rất tốt,2,1,1,2,2,2,2
Mình cần lời giải thích từ điện máy xanh. Mua tivi hơn một tuần. Độ tươi màu sắc còn tệ hơn cả tv hd mua 3 năm trước. Vừa nhận hàng đã yêu cầu hỗ trợ ngay. Tới nay hỗ trợ nhưng kéo dài thời gian. Không giải quyết vấn đề. Đổ thừa tùm lum hết. Làm ăn vậy sao dám tin tưởng mua tiếp. Tv bỏ ra hơn 10trieu mua,2,0,2,2,0,0,0
đổi lại còn thua tvi 3trieu .,2,2,2,2,2,0,0
Chất lượng tốt,2,2,2,2,2,2,1
ít sử dụng,2,2,2,2,2,2,2
Tivi chất lượng,2,2,2,2,2,2,1
Đang sử dụng vẫn ổ,2,2,2,2,2,2,1
Tôt,2,2,2,2,2,2,1
Tốt,2,2,2,2,2,2,1
Hình ảnh nét,2,1,2,2,2,2,2
âm thanh,2,2,1,2,2,2,2
chất lượng hình ảnh tốt,2,1,2,2,2,2,2
màu sắc đẹp,2,1,2,2,2,2,2
tivi đẹp,1,2,2,2,2,2,2
Xài tốt,2,2,2,2,2,2,1
rõ,2,1,2,2,2,2,2
Tivi có kết nối Bluetooth với loa,2,2,2,1,2,2,2
hưng chỉ kết nối tốt với loa của samsung. Kết nối loa hảng khác nghe ko đc. Chức năng Bluetooth mà kết nối ko như thế thà ko có chức năng Bluetooth còn hay hơn. Ko nên mua nếu có ý định kết nối Bluetooth qua loa thông minh. Nhân viên samsung đến kiểm tra bảo loa ko tương thích,2,2,2,0,2,2,2
thế là xong,2,2,2,2,2,2,2
Thật may mắn hôm qua mua giá 9tr490k tivi sài rất tốt và hài lòng nhân viên lắp đặt,2,2,2,2,1,1,1
Tốt,2,2,2,2,2,2,1
Hàng ok chất lương,2,2,2,2,2,2,1
Rất tốt ạ,2,2,2,2,2,2,1
Ti vi đang bình thường cái nó biến thành vậy chỉ tắt và mở lên lại như vầy,2,0,2,2,2,2,0
Tốt,2,2,2,2,2,2,1
Hiện tại tivi samsung đang dùng ok,2,2,2,2,2,2,1
Tốt,2,2,2,2,2,2,1
Ok,2,2,2,2,2,2,1
Quá tuyệt vời,2,2,2,2,2,2,1
Xem YouTube các highlights bóng đá hình ảnh bị chuyển động giật rất khó xem,2,0,2,0,2,2,1
có ai giống mình không. Nhờ hỗ trợ với,2,2,2,2,2,2,2
Rất tệ chăm sóc khách hàng rất kém,2,2,2,2,0,2,2
Tivi hình ảnh nó nhoà và tối hơn rất nhiều so với tivi sony giá tương đương gia đình mình vừa xài,2,0,2,2,2,0,2
Mọi cái tốt nhưng app VieOn tích hợp trên Tivi xài rất chậm và giật,2,2,2,0,2,2,1
mặc dù VieOn tích hợp sẵn và có cả nút sẵn trên Remote,2,2,2,2,2,2,2
Tivi ok nhưng sao gói Khuyến mãi VTVCab ON sau khi hết hạn gói VIP thì gói Cơ bản 2 năm cũng mất tiêu luôn vậy Điện Máy Xanh TV mới mua được mấy tháng thôi mà.,2,2,2,2,0,2,1
Tivi đẹp nha,1,2,2,2,2,2,2
tính đặt mua LG thì chạy ra cửa hàng xem thử,2,2,2,2,2,2,2
không ngờ con này QLED giảm giá còn 15tr hốt luôn vì chất lượng đẹp hơn LG với giá này. Hệ điều hành chạy mượt,2,1,2,1,2,1,1
hi vọng bền với thời gian.,2,2,2,2,2,2,2
OK,2,2,2,2,2,2,1
OK,2,2,2,2,2,2,1
Hiện tại còn bảo hành nên dùng rất ok .hết bảo hành thì tính tiếp ạ,2,2,2,2,2,2,1
Tot ban ạ,2,2,2,2,2,2,1
"Vừa mua được 2 ngày mà giá giảm xuống 2,5 triệu",2,2,2,2,2,2,2
hư vậy không biết có vấn đề gì không,2,2,2,0,2,2,2
Rất tuyệt vời!,2,2,2,2,2,2,1
